geo_id,year,deped_id,total_teacher_male,total_teacher_female,total_teachers,total_student_male,total_student_female,total_student_enrollment
HND-002629,2009,32100025,,,,19,24,43
HND-002629,2010,32100025,0,1,1,9,6,15
HND-002629,2011,32100025,,,,17,20,37
HND-002630,2009,32100026,,,,30,41,71
HND-002630,2010,32100026,1,1,2,7,9,16
HND-002630,2011,32100026,,,,28,39,67
HND-002631,2009,32100027,,,,79,96,175
HND-002631,2010,32100027,1,7,8,12,18,30
HND-002631,2011,32100027,,,,77,102,179
HND-002632,2009,32100028,,,,61,42,103
HND-002632,2010,32100028,2,0,2,32,13,45
HND-002632,2011,32100028,,,,63,43,106
HND-002633,2009,32100029,,,,27,9,36
HND-002633,2010,32100029,0,1,1,19,3,22
HND-002633,2011,32100029,,,,20,20,40
HND-002634,2009,32100030,,,,20,10,30
HND-002634,2010,32100030,0,1,1,21,17,38
HND-002634,2011,32100030,,,,15,20,35
HND-002635,2009,32100031,,,,24,17,41
HND-002635,2010,32100031,1,0,1,108,234,342
HND-002635,2011,32100031,,,,21,15,36
HND-002636,2009,32100032,,,,16,19,35
HND-002636,2010,32100032,0,1,1,7,3,10
HND-002636,2011,32100032,,,,12,13,25
HND-002637,2009,32100033,,,,9,10,19
HND-002637,2010,32100033,0,1,1,6,6,12
HND-002637,2011,32100033,,,,7,11,18
HND-002638,2009,32100034,,,,15,14,29
HND-002638,2010,32100034,1,0,1,5,5,10
HND-002638,2011,32100034,,,,10,11,21
HND-002639,2009,32100035,,,,33,25,58
HND-002639,2010,32100035,1,2,3,5,2,7
HND-002639,2011,32100035,,,,50,34,84
HND-002640,,32100037,,,,,,
HND-002641,2009,32100039,,,,22,24,46
HND-002641,2010,32100039,0,1,1,8,3,11
HND-002641,2011,32100039,,,,30,27,57
HND-002642,2009,32100040,,,,41,73,114
HND-002642,2011,32100040,,,,39,58,97
HND-002643,2009,32100041,,,,16,12,28
HND-002643,2011,32100041,,,,10,9,19
HND-002644,2009,32100042,,,,11,14,25
HND-002644,2011,32100042,,,,9,11,20
HND-002645,2009,32100043,,,,507,624,1131
HND-002645,2011,32100043,,,,551,550,1101
HND-002646,2009,32100044,,,,17,15,32
HND-002646,2010,32100044,0,1,1,11,14,25
HND-002646,2011,32100044,,,,18,11,29
HND-002647,2009,32100046,,,,5,8,13
HND-002647,2010,32100046,1,0,1,11,10,21
HND-002647,2011,32100046,,,,7,8,15
HND-002649,2009,32100048,,,,17,18,35
HND-002649,2011,32100048,,,,10,11,21
HND-002650,2009,32100049,,,,8,12,20
HND-002650,2011,32100049,,,,8,9,17
